RunNum;DownX;DownX_err;DownY;DownY_err;UpX;UpX_err;UpY;UpY_err;RefX;RefX_err;RefY;RefY_err;
71;0.89953;0.0011139;0.982386;0.000487412;0.961387;0.000716905;0.935428;0.000914477;0.944801;0.000844244;0.970111;0.000629501;
74;0.923773;0.000975549;0.988674;0.000389023;0.965148;0.000670594;0.944279;0.0008387;0.947754;0.000808569;0.972854;0.000590502;
84;0.928471;0.000899284;0.99133;0.000323515;0.98651;0.000401992;0.939749;0.000829171;0.984648;0.000431383;0.974652;0.000551495;
86;0.898977;0.000985579;0.987999;0.000356116;0.979393;0.000470333;0.937654;0.000800478;0.983461;0.000425631;0.975197;0.000519036;
88;0.890699;0.0011128;0.992902;0.000299398;0.985419;0.000434647;0.940689;0.000856486;0.984888;0.000446133;0.978055;0.000535757;
90;0.858334;0.00124987;0.990686;0.000344307;0.983359;0.000470321;0.933803;0.000914117;0.983783;0.000473289;0.977872;0.000551195;
92;0.804583;0.00143523;0.98948;0.000369293;0.973799;0.000607728;0.93182;0.000958985;0.985138;0.000473148;0.98078;0.00053687;
97;0.824448;0.00136749;0.990788;0.000343413;0.96443;0.000697517;0.939256;0.000899542;0.98205;0.0005097;0.979589;0.000542839;
102;0.929936;0.000891487;0.985021;0.000424232;0.988353;0.000379698;0.944857;0.000807791;0.950581;0.000758517;0.969859;0.000598355;
104;0.943281;0.000816311;0.992091;0.000312609;0.988284;0.000381527;0.944775;0.000809881;0.946692;0.000788137;0.960785;0.000680988;
106;0.939869;0.000868426;0.993421;0.000295321;0.98751;0.000407001;0.940518;0.0008668;0.944162;0.00083481;0.959748;0.000714619;
110;0.935168;0.000899598;0.987733;0.000402158;0.990416;0.000356193;0.936589;0.000890972;0.94383;0.00083923;0.972486;0.000596209;
112;0.944233;0.000830936;0.988907;0.000379265;0.99159;0.000328967;0.935449;0.000885242;0.957595;0.000731043;0.975389;0.000562081;
118;0.976073;0.000543758;0.98301;0.000459821;0.99455;0.000258232;0.927513;0.000909466;0.97797;0.00052745;0.986041;0.000421589;
124;0.967665;0.000618938;0.982272;0.000461743;0.99883;0.000115181;0.878187;0.00110217;0.968904;0.000603549;0.966304;0.000627426;
127;0.903907;0.00107698;0.984096;0.000457166;0.995906;0.000229852;0.875538;0.00118824;0.97831;0.000545098;0.969376;0.000644735;
134;0.95346;0.000582372;0.984905;0.000337098;0.985716;0.000321973;0.884566;0.000867068;0.965233;0.000511126;0.980919;0.000381716;
137;0.95679;0.000711278;0.976394;0.000531081;0.98706;0.00039047;0.9279;0.000893655;0.964528;0.000649374;0.981586;0.000471988;
139;0.95251;0.000779106;0.990996;0.000346034;0.993062;0.000299207;0.911426;0.00102416;0.971448;0.00061294;0.987363;0.000411104;
145;0.904383;0.00120557;0.95936;0.000809499;0.989191;0.000370721;0.743349;0.00156593;0.982493;0.000554904;0.989385;0.000433604;
