RunNum;UpX;UpXerr;UpY;UpYerr;DownX;DownXerr;DownY;DownYerr;Angular;Angularerr;
71;0.0393163;0.000144773;0.0398623;0.000145481;0.0779329;0.000389702;0.0745536;0.0003611;0.0846189;0.00074808;
74;0.03822;0.000137074;0.0394995;0.000141668;0.077261;0.000382424;0.0754105;0.000363636;0.096498;0.000948961;
84;0.0419023;0.000139981;0.0401968;0.000139271;0.102529;0.000894728;0.0759314;0.00035568;0.136206;0.000720737;
86;0.0457063;0.000144528;0.0401004;0.000131989;0.122058;0.00170027;0.0766938;0.00033855;0.159176;0.00113826;
88;0.0496874;0.000170444;0.0403727;0.000144294;0.143869;0.00366521;0.0766856;0.000372764;0.18994;0.00230119;
90;0.0525303;0.000186148;0.040506;0.000147176;0.164295;0.00135175;0.0758405;0.000370893;0.215266;0.0036553;
92;0.0575447;0.000213498;0.0400458;0.00015168;0.187619;0.0157234;0.0755249;0.000385261;0.249326;0.00631888;
97;0.057462;0.000209227;0.0401349;0.000150443;0.187563;0.0202743;0.0744378;0.000366493;0.244813;0.00582106;
102;0.0385163;0.000134565;0.0401355;0.000140982;0.0770922;0.000357011;0.0757673;0.00036911;0.0804651;0.000619366;
104;0.0380594;0.000133075;0.0404049;0.000141247;0.0758802;0.000342297;0.0818598;0.000419505;0.10456;0.00120395;
106;0.038334;0.000137756;0.0423592;0.000151526;0.0762428;0.000354224;0.0950175;0.000684477;0.123059;0.0026125;
110;0.0385975;0.000139661;0.0481919;0.000167731;0.0764942;0.000352954;0.134611;0.00378316;0.171379;0.0131858;
112;0.0402929;0.000142512;0.0526685;0.000181758;0.0757752;0.000349089;0.163601;0.00172741;0.202746;0.034626;
118;0.0389594;0.000135659;0.0605722;0.000211927;0.0770495;0.000359986;0.202373;0.00264821;0.261461;0.00682571;
124;0.0396983;0.000136673;0.0663175;0.000238392;0.0812059;0.000420025;0.233408;0.00427734;0.300802;0.0110782;
127;0.039103;0.000145274;0.0719498;0.000299988;0.0766365;0.000373085;0.233833;0.0557895;0.32263;0.0151762;
134;0.0381033;0.000105803;0.0395402;0.00010842;0.0761118;0.000271766;0.0787986;0.000308128;0.0698168;0.000375569;
137;0.0383054;0.000129792;0.0468914;0.000157618;0.0756592;0.000330267;0.12269;0.002244;0.160322;0.00123419;
139;0.0391686;0.000141101;0.0704594;0.000281425;0.0760281;0.000370669;0.249853;0.0059405;0.312676;0.0134003;
145;0.0400526;0.000169886;0.165854;0.0016219;0.0753408;0.000407352;0.679258;0.23484;0.730293;0.247699;
